1.0	Indus valley civilization genesis	is in	holy land now known as India around 2500 BC
1.0	Indus valley civilization	saw	Indus valley civilization genesis in holy land known as India
1.0	Indus valley civilization	saw	Indus valley civilization genesis in land known as India around 2500 BC
1.0	Indus valley civilization	saw	Indus valley civilization genesis in land now known as India around 2500 BC
1.0	Indus valley civilization	saw	Indus valley civilization genesis in holy land now known around 2500 BC
1.0	Indus valley civilization	saw	Indus valley civilization genesis in holy land now known
1.0	Indus valley civilization	saw	Indus valley civilization genesis in holy land
1.0	Indus valley civilization	saw	Indus valley civilization genesis in holy land now known as India
1.0	Indus valley civilization	saw	Indus valley civilization genesis in land known
1.0	Indus valley civilization	saw	Indus valley civilization genesis in holy land known
1.0	Indus valley civilization	saw	Indus valley civilization genesis
1.0	Indus valley civilization	saw	Indus valley civilization genesis in land
1.0	Indus valley civilization	saw	Indus valley civilization genesis in land now known as India
1.0	Indus valley civilization	saw	Indus valley civilization genesis in holy land known around 2500 BC
1.0	Indus valley civilization	saw	Indus valley civilization genesis in land now known
1.0	Indus valley civilization	saw	Indus valley civilization genesis in land known around 2500 BC
1.0	Indus valley civilization	saw	Indus valley civilization genesis in land now known around 2500 BC
1.0	Indus valley civilization	saw	Indus valley civilization genesis in holy land now known as India around 2500 BC
1.0	Indus valley civilization	saw	Indus valley civilization genesis in holy land known as India around 2500 BC
1.0	Indus valley civilization	saw	Indus valley civilization genesis in land known as India
1.0	descendants	migrated to	south of India
0.5756501077078514	people	inhabiting	Indus River valley
1.0	descendants	later migrated to	south
1.0	people	were	thought
1.0	descendants	later migrated to	south of India
1.0	descendants	migrated to	south
1.0	deterioration	can	can attributed to changes
1.0	deterioration	can	can attributed
1.0	deterioration	can	can attributed to ecological changes
1.0	millennium BC	was witness to	migration of tribes from North West frontier
1.0	BC	was witness to	migration of Aryan tribes into sub continent
1.0	second BC	was witness to	migration of Aryan tribes
1.0	BC	was witness to	migration of tribes from North West frontier into sub continent
1.0	second millennium BC	was witness to	migration of tribes
1.0	second millennium BC	was witness to	migration of bucolic Aryan tribes from North West frontier into sub continent
1.0	millennium BC	was witness to	migration of Aryan tribes from North West frontier
1.0	BC	was witness to	migration of Aryan tribes
1.0	second BC	was witness to	migration of tribes into sub continent
1.0	BC	was	witness
1.0	second millennium BC	was witness to	migration of Aryan tribes
1.0	BC	was witness to	migration of bucolic Aryan tribes into sub continent
1.0	second millennium BC	was witness to	migration of tribes from North West frontier
1.0	BC	was witness to	migration
1.0	second millennium BC	was witness to	migration of bucolic Aryan tribes into sub continent
1.0	BC	was witness to	migration of bucolic Aryan tribes from North West frontier into sub continent
1.0	second millennium BC	was witness to	migration
1.0	BC	was witness to	migration of bucolic tribes from North West frontier into sub continent
1.0	BC	was witness to	migration into sub continent
1.0	millennium BC	was witness to	migration of Aryan tribes into sub continent
1.0	second millennium BC	was witness to	migration of bucolic Aryan tribes from North West frontier
1.0	second millennium BC	was witness to	migration of bucolic tribes from North West frontier
1.0	second BC	was witness to	migration
1.0	second BC	was witness to	migration of tribes from North West frontier
1.0	second millennium BC	was witness to	migration into sub continent
1.0	BC	was witness to	migration of bucolic tribes from North West frontier
1.0	second millennium BC	was witness to	migration of bucolic tribes
1.0	second BC	was witness to	migration of bucolic Aryan tribes
1.0	second BC	was witness to	migration of bucolic tribes from North West frontier into sub continent
1.0	second millennium BC	was witness to	migration of Aryan tribes into sub continent
1.0	second BC	was witness to	migration of bucolic tribes into sub continent
1.0	second BC	was witness to	migration of Aryan tribes into sub continent
1.0	BC	was witness to	migration of Aryan tribes from North West frontier into sub continent
1.0	BC	was witness to	migration of bucolic tribes
1.0	BC	was witness to	migration of bucolic tribes into sub continent
1.0	second BC	was witness to	migration of bucolic Aryan tribes from North West frontier
1.0	second BC	was	witness
1.0	millennium BC	was witness to	migration of bucolic Aryan tribes into sub continent
1.0	millennium BC	was witness to	migration of tribes into sub continent
1.0	millennium BC	was witness to	migration of tribes
1.0	millennium BC	was witness to	migration
1.0	millennium BC	was witness to	migration of tribes from North West frontier into sub continent
1.0	BC	was witness to	migration of tribes from North West frontier
1.0	second BC	was witness to	migration of bucolic tribes from North West frontier
1.0	second BC	was witness to	migration of Aryan tribes from North West frontier
1.0	second BC	was witness to	migration into sub continent
1.0	millennium BC	was witness to	migration of bucolic Aryan tribes from North West frontier into sub continent
1.0	millennium BC	was	witness
1.0	millennium BC	was witness to	migration of bucolic tribes from North West frontier
1.0	millennium BC	was witness to	migration of bucolic tribes from North West frontier into sub continent
